소속기관명,시설명,계측가능여부,임차여부,연료명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
상수도사업본부,해운대사업소 휘발유차량,Y,N,휘발유,0,0,0.055,0.123,0,0.053,0.112,0,0.108,0.09,0.108,0.055
상수도사업본부,중동부사업소 휘발유차량,Y,N,휘발유,0,0.044,0.11,0,0.066,0,0.066,0.075,0.066,0.132,0.099,0.088
상수도사업본부,사하사업소 휘발유차량,Y,N,휘발유,0,0,0,0,0,0,0,0,0,0,0,0
상수도사업본부,기장사업소 청사,Y,N,전력,3.507,3.678,2.807,2.288,1.743,1.692,1.957,3.069,2.712,2.126,1.893,2.595
상수도사업본부,상수도사업본부 기장사업소 LPG차량,Y,N,LPG(차량),0.107,0.087,0.124,0.184,0.175,0.182,0.123,0.175,0.158,0.162,0.209,0.138
상수도사업본부,영도사업소 휘발유차량,Y,N,휘발유,0,0,0,0,0,0,0,0,0,0,0,0
상수도사업본부,부산진사업소 휘발유차량,Y,N,휘발유,0,0.055,0.09,0,0.055,0.051,0.108,0,0,0.059,0.09,0.055
상수도사업본부,북부통합사업소 휘발유차량,Y,N,휘발유,0.07,0.062,0.081,0.149,0.086,0.132,0.138,0.132,0.117,0.13,0.156,0.125
상수도사업본부,금정사업소 휘발유차량,Y,N,휘발유,0,0,0,0,0,0,0,0,0,0,0,0
상수도사업본부,기장사업소 휘발유차량,Y,N,휘발유,0.009,0,0,0,0.009,0,0.024,0,0,0,0,0
상수도사업본부,기장사업소 LPG차량,Y,N,LPG(차량),0,0,0,0,0,0,0,0,0,0,0,0
상수도사업본부,남부사업소 휘발유차량,Y,N,휘발유,0.051,0.048,0.095,0.156,0.088,0.099,0.132,0.055,0.044,0.044,0.044,0
상수도사업본부,남부사업소 자재창고,Y,N,전력,0.019,0.017,0.018,0.025,0.024,0.03,0.028,0.01,0.003,0.004,0.003,0.004
여성문화회관,여성문화회관 청사,Y,N,가스/디젤 오일(경유),0,0,0,0,0,0,0,0,0,0,0,0
여성문화회관,여성문화회관 청사,Y,N,도시가스(LNG),0.433,0.525,0.446,0.462,0.462,0.042,0.151,0.098,0.015,0.074,0.085,0.674
여성문화회관,여성문화회관 청사,Y,N,실내 등유,0,0,0,0,0,0,0,0,0,0,0,0
여성문화회관,여성문화회관 청사,Y,N,전력,6.008,6.004,4.906,5.708,3.909,4.659,6.041,7.212,4.85,4.492,5.556,8.681
여성문화회관,여성문화회관 경유차량,Y,N,가스/디젤 오일(경유),0.215,0.098,0.369,0.103,0.106,0.361,0.35,0,0.342,0,0.377,0.326
여성문화회관,여성문화회관 휘발유차량,Y,N,휘발유,0,0,0.182,0,0,0.088,0.099,0.09,0.095,0.092,0.178,0.092
여성회관,부산여성회관 본관,Y,N,도시가스(LNG),0,0.074,0,0.245,0.199,0.247,0.21,0.118,0.042,0.018,0.136,0.276
여성회관,부산여성회관 본관,Y,N,전력,7.325,7.479,8.359,7.804,5.808,6.777,7.393,7.701,4.836,6.007,6.245,8.031
여성회관,부산여성회관 경유 차량,Y,N,가스/디젤 오일(경유),0,0,0.133,0,0.119,0,0,0.119,0,0,0,0.13
여성회관,부산여성회관 휘발유 차량,Y,N,휘발유,0.059,0.134,0.064,0.073,0.141,0.066,0.138,0.07,0.099,0,0.125,0.051
차량등록사업소,차량등록사업소,Y,N,도시가스(LNG),9.192,5.121,5.298,0.903,0.048,4.412,8.923,9.52,5.276,1.461,0,6.801
차량등록사업소,차량등록사업소,Y,N,전력,19.65,11.137,9.702,9.119,6.828,7.995,10.287,10.557,11.365,9.863,10.486,15.625
